>>> Bajando 2025-12 para 428 simbolos
[20/428] AGLDUSDT: 2976 velas (total acumulado=50592)
[40/428] ARBUSDT: 2976 velas (total acumulado=98208)
[60/428] AZTECUSDT: 0 velas (total acumulado=142848)
[80/428] BNBUSDT: 2976 velas (total acumulado=187488)
[100/428] CFXUSDT: 2976 velas (total acumulado=226176)
[120/428] DOGSUSDT: 2976 velas (total acumulado=261931)
[140/428] ESPUSDT: 0 velas (total acumulado=309547)
[160/428] GMTUSDT: 2976 velas (total acumulado=360139)
[180/428] HOMEUSDT: 2976 velas (total acumulado=408770)
[200/428] JOEUSDT: 2976 velas (total acumulado=453410)
[220/428] LITUSDT: 2906 velas (total acumulado=503932)
[240/428] MOODENGUSDT: 2976 velas (total acumulado=551590)
[260/428] NVDAUSDT: 0 velas (total acumulado=583418)
[280/428] PHAROSUSDT: 0 velas (total acumulado=622106)
[300/428] QQQUSDT: 0 velas (total acumulado=666230)
[320/428] SEIUSDT: 2976 velas (total acumulado=712536)
[340/428] SPXUSDT: 2976 velas (total acumulado=748248)
[360/428] TAOUSDT: 2976 velas (total acumulado=795864)
[380/428] TUTUSDT: 2976 velas (total acumulado=843480)
[400/428] WUSDT: 2976 velas (total acumulado=895057)
[420/428] ZENUSDT: 2976 velas (total acumulado=941681)

>>> Listo. Total velas nuevas: 959537
