Symbol,OpenedAt,Name
SKHYNIXUSDT,2026-07-09 00:00:01.214721+00,Standard Scalping
SKHYNIXUSDT,2026-07-09 00:00:05.923377+00,Scalping Clone
BABAUSDT,2026-07-09 01:39:35.35691+00,Standard Scalping
BABAUSDT,2026-07-09 01:39:39.186214+00,Scalping Clone
ONGUSDT,2026-07-09 01:39:48.422914+00,LSE Counter-Trend 
VVVUSDT,2026-07-09 03:34:47.3048+00,LSE Counter-Trend 
TAGUSDT,2026-07-09 03:49:30.142521+00,Scalping Clone
TAGUSDT,2026-07-09 03:49:37.639548+00,Standard Scalping
TAGUSDT,2026-07-09 03:54:33.664938+00,MA Clone
JCTUSDT,2026-07-09 04:20:31.574948+00,MA Cross Momentum
JCTUSDT,2026-07-09 04:20:41.763249+00,Scalping Clone
JCTUSDT,2026-07-09 04:20:47.304381+00,Standard Scalping
HMSTRUSDT,2026-07-09 05:35:28.049478+00,Scalping Clone
HMSTRUSDT,2026-07-09 05:35:41.039386+00,Standard Scalping
PEOPLEUSDT,2026-07-09 05:39:25.761996+00,MA Cross Momentum
HPEUSDT,2026-07-09 15:35:44.676432+00,Standard Scalping
DOLOUSDT,2026-07-09 16:12:34.48513+00,Standard Scalping
DOLOUSDT,2026-07-09 16:27:36.105848+00,Standard Scalping
TUTUSDT,2026-07-09 16:52:34.687376+00,Standard Scalping
SIRENUSDT,2026-07-09 19:01:22.99178+00,LSE Counter-Trend 
ONUSDT,2026-07-09 19:03:30.661133+00,Scalping Clone
FIGHTUSDT,2026-07-09 19:41:41.939746+00,Standard Scalping
VIRTUALUSDT,2026-07-09 21:02:57.913907+00,LSE Counter-Trend 
BANANAS31USDT,2026-07-09 21:09:21.141249+00,Scalping Clone
STBLUSDT,2026-07-09 22:16:49.878471+00,Scalping Clone
RVNUSDT,2026-07-09 22:30:08.342122+00,Standard Scalping
ONUSDT,2026-07-09 23:15:51.298671+00,Standard Scalping
POWERUSDT,2026-07-10 01:43:24.819611+00,MA Clone
POWERUSDT,2026-07-10 01:43:30.16777+00,MA Cross Momentum
POWERUSDT,2026-07-10 01:43:42.235663+00,Standard Scalping
SLXUSDT,2026-07-10 02:15:43.495824+00,MA Cross Momentum
KATUSDT,2026-07-10 06:13:46.857694+00,MA Clone
KATUSDT,2026-07-10 06:13:52.694466+00,Scalping Clone
KATUSDT,2026-07-10 06:13:58.51005+00,Standard Scalping
BANANAUSDT,2026-07-10 07:15:33.056067+00,LSE Counter-Trend 
POPCATUSDT,2026-07-10 07:46:02.257443+00,LSE Counter-Trend 
NAORISUSDT,2026-07-10 07:46:15.733576+00,MA Clone
NAORISUSDT,2026-07-10 07:46:23.983712+00,Scalping Clone
NAORISUSDT,2026-07-10 07:46:29.059814+00,Standard Scalping
BERAUSDT,2026-07-10 08:02:14.484186+00,LSE Counter-Trend 
KGENUSDT,2026-07-10 08:29:45.101114+00,MA Clone
KGENUSDT,2026-07-10 08:29:50.119168+00,MA Cross Momentum
MUSDT,2026-07-10 09:34:07.594838+00,MA Cross Momentum
MUSDT,2026-07-10 09:34:17.340241+00,Scalping Clone
MUSDT,2026-07-10 09:34:22.433019+00,Standard Scalping
SEIUSDT,2026-07-10 11:29:15.291929+00,MA Clone
UNIUSDT,2026-07-10 11:54:48.294033+00,MA Clone
龙虾USDT,2026-07-10 12:20:01.127014+00,Standard Scalping
SYRUPUSDT,2026-07-10 14:28:08.298389+00,Standard Scalping
GRASSUSDT,2026-07-10 14:36:18.465223+00,LSE Counter-Trend 
RVNUSDT,2026-07-10 15:57:46.435711+00,MA Clone
RVNUSDT,2026-07-10 15:57:51.613139+00,MA Cross Momentum
RVNUSDT,2026-07-10 15:58:02.647708+00,Scalping Clone
B2USDT,2026-07-10 16:25:31.326404+00,MA Clone
B2USDT,2026-07-10 16:25:38.344699+00,MA Cross Momentum
MOVEUSDT,2026-07-10 18:06:45.91041+00,LSE Counter-Trend 
XANUSDT,2026-07-10 18:33:14.933805+00,MA Cross Momentum
CTRUSDT,2026-07-10 21:02:29.172981+00,MA Cross Momentum
CTRUSDT,2026-07-10 21:02:41.527357+00,Standard Scalping
APRUSDT,2026-07-10 23:00:58.402465+00,Standard Scalping
MONUSDT,2026-07-10 23:44:01.560947+00,Arrow Reversal
BLESSUSDT,2026-07-10 23:54:12.871441+00,MA Cross Momentum
BLESSUSDT,2026-07-10 23:54:24.497663+00,Scalping Clone
ALLOUSDT,2026-07-11 02:06:30.556229+00,MA Slope Caso 1
CBRSUSDT,2026-07-11 02:06:37.54717+00,MA Slope Caso 3
STGUSDT,2026-07-11 02:15:12.765445+00,MA Slope Caso 1
NVDAUSDT,2026-07-11 02:15:20.507637+00,MA Slope Caso 3
ADAUSDT,2026-07-11 02:23:01.605496+00,MA Slope Caso 1
TAKEUSDT,2026-07-11 02:23:08.879958+00,MA Slope Caso 2
EWYUSDT,2026-07-11 02:23:17.930312+00,MA Slope Caso 3
ORDIUSDT,2026-07-11 02:46:51.589966+00,MA Slope Caso 2
AWEUSDT,2026-07-11 02:55:51.755905+00,MA Slope Caso 2
EIGENUSDT,2026-07-11 03:53:39.044592+00,MA Slope Caso 2
KATUSDT,2026-07-11 04:21:05.76471+00,MA Clone
KATUSDT,2026-07-11 04:21:15.671769+00,MA Cross Momentum
KATUSDT,2026-07-11 04:21:33.794832+00,Scalping Clone
KATUSDT,2026-07-11 04:21:40.177408+00,Standard Scalping
RIVERUSDT,2026-07-11 14:21:47.152525+00,MA Slope Caso 1
HBARUSDT,2026-07-11 16:38:06.39334+00,MA Slope Caso 1
SXTUSDT,2026-07-11 16:44:53.403692+00,Standard Scalping
CLOUSDT,2026-07-11 18:47:33.827995+00,MA Clone
CLOUSDT,2026-07-11 18:47:41.950335+00,Scalping Clone
CLOUSDT,2026-07-11 18:47:47.694111+00,Standard Scalping
COINUSDT,2026-07-11 19:20:00.315048+00,LSE Counter-Trend 
COOKIEUSDT,2026-07-11 19:20:07.660915+00,Standard Scalping
APEUSDT,2026-07-11 19:28:06.230675+00,Arrow Reversal
CHZUSDT,2026-07-11 20:53:48.66841+00,Standard Scalping
ANKRUSDT,2026-07-11 21:59:37.225697+00,MA Clone
ANKRUSDT,2026-07-11 21:59:41.30217+00,MA Cross Momentum
ANKRUSDT,2026-07-11 21:59:50.2886+00,Scalping Clone
ANKRUSDT,2026-07-11 21:59:53.912567+00,Standard Scalping
DRIFTUSDT,2026-07-11 22:22:34.7122+00,Scalping Clone
TRADOORUSDT,2026-07-11 22:29:18.861492+00,Scalping Clone
HEIUSDT,2026-07-11 23:15:24.415915+00,MA Slope Caso 1
ENSOUSDT,2026-07-11 23:15:30.048964+00,MA Slope Caso 2
MAVUSDT,2026-07-11 23:24:30.468493+00,MA Slope Caso 2
GWEIUSDT,2026-07-12 00:06:45.607664+00,MA Clone
BLESSUSDT,2026-07-12 00:06:54.399011+00,MA Slope Caso 2
HMSTRUSDT,2026-07-12 00:31:18.832893+00,MA Clone
HMSTRUSDT,2026-07-12 00:31:22.14905+00,MA Cross Momentum
HMSTRUSDT,2026-07-12 00:31:38.262752+00,Standard Scalping
RVNUSDT,2026-07-12 00:42:00.541627+00,MA Slope Caso 2
BEUSDT,2026-07-12 02:15:50.528505+00,LSE Counter-Trend 
MANAUSDT,2026-07-12 03:05:03.733483+00,MA Slope Caso 1
UNIUSDT,2026-07-12 04:21:57.984088+00,Arrow Reversal
AGLDUSDT,2026-07-12 05:18:57.266541+00,Compresion ADN - Micro (5m)
RAREUSDT,2026-07-12 05:19:05.425024+00,FVG - 15m
AGLDUSDT,2026-07-12 05:19:11.547395+00,FVG - 1m
CHRUSDT,2026-07-12 05:19:16.467468+00,FVG - 5m
SKLUSDT,2026-07-12 05:29:10.787953+00,FVG - 15m
SXTUSDT,2026-07-12 05:29:16.858349+00,FVG - 1m
MITOUSDT,2026-07-12 05:29:24.942908+00,FVG - 5m
TACUSDT,2026-07-12 05:37:48.685545+00,FVG - 15m
ELSAUSDT,2026-07-12 05:37:54.793142+00,FVG - 1m
BEATUSDT,2026-07-12 05:38:00.883143+00,FVG - 5m
USUSDT,2026-07-12 05:47:55.10934+00,FVG - 15m
VANRYUSDT,2026-07-12 05:48:01.181614+00,FVG - 1m
YFIUSDT,2026-07-12 06:01:10.840407+00,Compresion ADN - Micro (5m)
SYNUSDT,2026-07-12 06:14:17.351191+00,Compresion ADN - Micro (5m)
MMTUSDT,2026-07-12 06:14:23.422348+00,FVG - 1m
UMAUSDT,2026-07-12 06:14:29.524867+00,FVG - 5m
C98USDT,2026-07-12 06:28:31.787629+00,Compresion ADN - Micro (5m)
JTOUSDT,2026-07-12 06:28:37.907018+00,FVG - 15m
SPELLUSDT,2026-07-12 06:28:43.982805+00,FVG - 1m
TUSDT,2026-07-12 06:28:50.041483+00,FVG - 5m
ZBTUSDT,2026-07-12 06:38:17.407325+00,FVG - 15m
ALLOUSDT,2026-07-12 06:38:25.523119+00,FVG - 1m
TLMUSDT,2026-07-12 06:50:00.360919+00,FVG - 1m
HOTUSDT,2026-07-12 07:02:31.219475+00,FVG - 1m
GUNUSDT,2026-07-12 07:15:44.804778+00,FVG - 15m
ZECUSDT,2026-07-12 07:24:57.637264+00,Compresion ADN - Micro (5m)
BLURUSDT,2026-07-12 07:33:37.604956+00,FVG - 1m
AIOUSDT,2026-07-12 07:43:56.27635+00,FVG - 15m
DEXEUSDT,2026-07-12 07:44:14.449976+00,FVG - 1m
SKYAIUSDT,2026-07-12 07:44:20.531835+00,FVG - 5m
VELVETUSDT,2026-07-12 07:52:57.837551+00,FVG - 15m
LABUSDT,2026-07-12 07:53:03.937055+00,FVG - 1m
QUSDT,2026-07-12 08:02:23.063092+00,FVG - 1m
CLOUSDT,2026-07-12 08:02:29.155138+00,MA Clone
CLOUSDT,2026-07-12 08:02:33.264522+00,Scalping Clone
CLOUSDT,2026-07-12 08:02:37.421916+00,Standard Scalping
AWEUSDT,2026-07-12 08:16:35.739813+00,FVG - 5m
DUSKUSDT,2026-07-12 08:16:41.81397+00,MA Slope Caso 2
TUTUSDT,2026-07-12 08:25:53.43951+00,FVG - 1m
EPICUSDT,2026-07-12 08:46:49.191212+00,FVG - 1m
SCRTUSDT,2026-07-12 09:20:13.209637+00,FVG - 1m
BANKUSDT,2026-07-12 09:28:50.747873+00,FVG - 1m
TSTUSDT,2026-07-12 09:50:27.585312+00,FVG - 1m
UBUSDT,2026-07-12 09:50:33.661669+00,LSE Counter-Trend 
UBUSDT,2026-07-12 09:50:47.823282+00,Scalping Clone
UBUSDT,2026-07-12 09:50:51.91038+00,Standard Scalping
ALTUSDT,2026-07-12 10:02:32.393937+00,FVG - 1m
MAGMAUSDT,2026-07-12 10:23:13.629841+00,FVG - 1m
ARBUSDT,2026-07-12 11:16:07.752898+00,FVG - 1m
ANKRUSDT,2026-07-12 11:46:00.814322+00,FVG - 1m
USUALUSDT,2026-07-12 12:48:02.090966+00,FVG - 1m
BABAUSDT,2026-07-12 14:22:53.114904+00,LSE Counter-Trend 
SOLUSDT,2026-07-12 14:23:01.27783+00,MA Slope Caso 1
HMSTRUSDT,2026-07-12 15:07:58.13265+00,MA Cross Momentum
HMSTRUSDT,2026-07-12 15:08:07.593353+00,Scalping Clone
HMSTRUSDT,2026-07-12 15:08:11.654654+00,Standard Scalping
FUSDT,2026-07-12 16:02:39.990362+00,Compresion ADN - Micro (5m)
GWEIUSDT,2026-07-12 16:29:55.846602+00,FVG - 1m
EVAAUSDT,2026-07-12 16:38:30.879498+00,FVG - 1m
2ZUSDT,2026-07-12 16:52:11.107008+00,FVG - 1m
STGUSDT,2026-07-12 16:52:16.505155+00,MA Slope Caso 1
PUNDIXUSDT,2026-07-12 17:03:57.180282+00,FVG - 5m
REDUSDT,2026-07-12 17:15:14.184423+00,FVG - 1m
HEIUSDT,2026-07-12 17:24:46.639196+00,FVG - 1m
STEEMUSDT,2026-07-12 17:44:10.418943+00,FVG - 5m
OGNUSDT,2026-07-12 17:55:52.456637+00,FVG - 5m
WLDUSDT,2026-07-12 18:26:59.393715+00,FVG - 5m
BEAMUSDT,2026-07-12 19:45:53.553118+00,FVG - 5m
FHEUSDT,2026-07-12 19:55:45.897906+00,FVG - 5m
BILLUSDT,2026-07-12 20:05:28.74036+00,FVG - 1m
BILLUSDT,2026-07-12 20:05:34.807356+00,FVG - 5m
APRUSDT,2026-07-12 20:14:55.72484+00,FVG - 1m
HUMAUSDT,2026-07-12 20:34:27.095439+00,FVG - 1m
PARTIUSDT,2026-07-12 20:34:33.155278+00,FVG - 5m
TWTUSDT,2026-07-12 20:45:36.139177+00,FVG - 1m
STORJUSDT,2026-07-12 21:09:52.370761+00,FVG - 1m
NILUSDT,2026-07-12 21:18:18.333399+00,FVG - 1m
MIRAUSDT,2026-07-12 21:34:20.251089+00,Compresion ADN - Micro (5m)
RESOLVUSDT,2026-07-12 22:10:23.48347+00,FVG - 5m
AVGOUSDT,2026-07-12 22:10:29.537742+00,MA Slope Caso 2
CATIUSDT,2026-07-12 22:27:06.814599+00,FVG - 1m
XPLUSDT,2026-07-12 22:36:29.956945+00,FVG - 1m
ENJUSDT,2026-07-13 00:05:51.535484+00,Compresion ADN - Micro (5m)
ESPORTSUSDT,2026-07-13 00:05:57.643123+00,FVG - 1m
UAIUSDT,2026-07-13 00:06:02.688427+00,FVG - 5m
XRPUSDT,2026-07-13 00:14:51.803956+00,Compresion ADN - Micro (5m)
XPINUSDT,2026-07-13 00:15:01.923538+00,MA Cross Momentum
PARTIUSDT,2026-07-13 00:15:23.492914+00,Standard Scalping
SNXUSDT,2026-07-13 00:25:01.051312+00,FVG - 1m
KITEUSDT,2026-07-13 00:32:48.08952+00,FVG - 1m
CYBERUSDT,2026-07-13 00:32:56.176378+00,FVG - 5m
JUPUSDT,2026-07-13 00:44:48.158976+00,LSE Counter-Trend 
BTCUSDT,2026-07-13 00:55:20.249524+00,MA Slope Caso 2
AXLUSDT,2026-07-13 01:14:22.05721+00,FVG - 1m
ESPUSDT,2026-07-13 01:31:46.01299+00,FVG - 15m
ZKUSDT,2026-07-13 01:31:52.112162+00,FVG - 1m
JCTUSDT,2026-07-13 01:32:06.496124+00,Standard Scalping
ERAUSDT,2026-07-13 01:53:33.349825+00,FVG - 5m
ATUSDT,2026-07-13 02:21:44.27858+00,FVG - 1m
TRXUSDT,2026-07-13 02:21:50.346833+00,MA Slope Caso 3
SUNUSDT,2026-07-13 02:29:52.966569+00,MA Slope Caso 3
RIVERUSDT,2026-07-13 02:38:47.502397+00,MA Slope Caso 1
PARTIUSDT,2026-07-13 02:38:59.704415+00,Standard Scalping
ZAMAUSDT,2026-07-13 02:53:29.255429+00,MA Slope Caso 3
PARTIUSDT,2026-07-13 03:07:58.93849+00,Standard Scalping
OPGUSDT,2026-07-13 03:18:19.738671+00,MA Slope Caso 1
SUIUSDT,2026-07-13 03:18:25.847489+00,MA Slope Caso 2
ENAUSDT,2026-07-13 03:27:33.335533+00,MA Slope Caso 2
NVDAUSDT,2026-07-13 05:07:09.593316+00,MA Slope Caso 2
GIGGLEUSDT,2026-07-13 05:28:08.410123+00,Compresion ADN - Micro (5m)
SKLUSDT,2026-07-13 05:36:42.161523+00,Compresion ADN - Micro (5m)
ELSAUSDT,2026-07-13 06:21:38.973257+00,MA Clone
ELSAUSDT,2026-07-13 06:21:43.038277+00,MA Cross Momentum
ELSAUSDT,2026-07-13 06:21:52.928574+00,Standard Scalping
PRLUSDT,2026-07-13 07:24:38.637117+00,LSE Counter-Trend 
ETCUSDT,2026-07-13 07:33:05.010457+00,Compresion ADN - Micro (5m)
HUSDT,2026-07-13 07:54:08.516594+00,MA Cross Momentum
TAOUSDT,2026-07-13 08:33:51.006922+00,LSE Counter-Trend 
GENIUSUSDT,2026-07-13 09:16:32.044109+00,Compresion ADN - Micro (5m)
MASKUSDT,2026-07-13 10:06:54.505838+00,LSE Counter-Trend 
ARBUSDT,2026-07-13 10:33:57.248453+00,Arrow Reversal
JTOUSDT,2026-07-13 10:47:23.877141+00,LSE Counter-Trend 
BUSDT,2026-07-13 10:47:29.983796+00,MA Clone
BUSDT,2026-07-13 10:47:35.456017+00,Scalping Clone
BUSDT,2026-07-13 10:47:41.572274+00,Standard Scalping
PYTHUSDT,2026-07-13 11:27:29.119031+00,Compresion ADN - Micro (5m)
SENTUSDT,2026-07-13 11:40:25.872771+00,Compresion ADN - Micro (5m)
OGUSDT,2026-07-13 12:42:05.469379+00,Compresion ADN - Micro (5m)
SKYAI1USDT,2026-07-13 13:13:52.602584+00,LSE Counter-Trend 
UBUSDT,2026-07-13 13:54:09.140633+00,Compresion ADN - Micro (5m)
TRBUSDT,2026-07-13 14:13:54.252874+00,Compresion ADN - Micro (5m)
BILLUSDT,2026-07-13 14:30:51.313833+00,Scalping Clone
BILLUSDT,2026-07-13 14:30:57.470238+00,Standard Scalping
UAIUSDT,2026-07-13 14:40:06.658887+00,MA Slope Caso 1
EGLDUSDT,2026-07-13 15:45:34.553675+00,MA Slope Caso 3
JUPUSDT,2026-07-13 16:08:07.086087+00,MA Cross Momentum
SOONUSDT,2026-07-13 16:58:26.967252+00,Compresion ADN - Micro (5m)
