kind,symbol,real_sig,bt_sig,real_pnl,bt_pnl,real_reason,bt_reason,dpnl
MATCH,ZESTUSDT,2026-07-14T16:05,2026-07-14T16:05,-5.637,-0.523,sl_hit,zombie_timeout,5.114
MATCH,DOTUSDT,2026-07-17T13:54,2026-07-17T13:35,2.717,-0.3,tp_hit,zombie_timeout,-3.017
MATCH,XLMUSDT,2026-07-17T16:30,2026-07-17T16:05,-0.301,-0.136,timeout,zombie_timeout,0.165
MATCH,TRBUSDT,2026-07-19T18:18,2026-07-19T18:00,2.673,-0.291,tp_hit,zombie_timeout,-2.964
MATCH,DOGEUSDT,2026-07-27T23:51,2026-07-27T23:15,-0.421,-0.631,timeout,zombie_timeout,-0.21
MATCH,AEROUSDT,2026-07-29T04:25,2026-07-29T04:05,-3.555,-2.474,sl_hit,SL,1.08
MATCH,CAPUSDT,2026-08-01T18:42,2026-08-01T18:05,-3.099,-4.442,sl_hit,SL,-1.343
MATCH,APRUSDT,2026-08-03T13:55,2026-08-03T13:05,-3.387,-2.816,sl_hit,SL,0.571
FALSE_POS,LDOUSDT,,2026-07-10T00:00,,11.875,,TP,
FALSE_POS,CLUSDT,,2026-07-10T09:20,,-0.225,,zombie_timeout,
FALSE_POS,TRXUSDT,,2026-07-10T12:05,,-0.129,,zombie_timeout,
FALSE_POS,EIGENUSDT,,2026-07-15T05:40,,-0.246,,zombie_timeout,
FALSE_POS,AVAXUSDT,,2026-07-16T12:05,,-3.049,,SL,
FALSE_POS,ZAMAUSDT,,2026-07-18T16:05,,-3.259,,SL,
FALSE_POS,ESPUSDT,,2026-07-18T17:55,,-1.61,,zombie_timeout,
FALSE_POS,TAOUSDT,,2026-07-21T00:05,,-0.143,,zombie_timeout,
FALSE_POS,AAVEUSDT,,2026-07-24T13:10,,-2.969,,SL,
FALSE_POS,ONDOUSDT,,2026-07-29T16:05,,11.875,,TP,
FALSE_POS,JUPUSDT,,2026-07-31T12:10,,-0.356,,zombie_timeout,
FALSE_POS,TRXUSDT,,2026-08-01T05:05,,-0.18,,zombie_timeout,
FALSE_POS,INJUSDT,,2026-08-04T13:10,,-2.849,,SL,
FALSE_POS,DOGEUSDT,,2026-08-05T03:20,,-0.485,,zombie_timeout,
FALSE_POS,ENSOUSDT,,2026-08-08T18:05,,11.861,,TP,
FALSE_POS,DOGEUSDT,,2026-08-10T08:05,,-0.184,,zombie_timeout,
FALSE_POS,BCHUSDT,,2026-08-10T13:40,,-1.16,,zombie_timeout,
FALSE_POS,WIFUSDT,,2026-08-11T00:05,,-3.524,,SL,
MISSED_REAL,TAKEUSDT,2026-07-11T02:23,,-3.006,,sl_hit,,
MISSED_REAL,ORDIUSDT,2026-07-11T02:46,,-7.396,,sl_hit,,
MISSED_REAL,AWEUSDT,2026-07-11T02:55,,-0.739,,timeout,,
MISSED_REAL,EIGENUSDT,2026-07-11T03:53,,-3.129,,sl_hit,,
MISSED_REAL,ENSOUSDT,2026-07-11T23:15,,-3.399,,sl_hit,,
MISSED_REAL,BLESSUSDT,2026-07-12T00:06,,-0.946,,timeout,,
MISSED_REAL,BTCUSDT,2026-07-13T00:55,,-3.43,,sl_hit,,
MISSED_REAL,SUIUSDT,2026-07-13T03:18,,-2.847,,sl_hit,,
MISSED_REAL,ENAUSDT,2026-07-13T03:27,,-2.988,,sl_hit,,
MISSED_REAL,NVDAUSDT,2026-07-13T05:07,,-2.739,,sl_hit,,
MISSED_REAL,ZECUSDT,2026-07-13T17:31,,-5.016,,sl_hit,,
MISSED_REAL,MANTAUSDT,2026-07-13T23:10,,3.185,,tp_hit,,
MISSED_REAL,USDCUSDT,2026-07-14T01:57,,-0.238,,timeout,,
MISSED_REAL,APRUSDT,2026-07-14T03:03,,6.568,,tp_hit,,
MISSED_REAL,STABLEUSDT,2026-07-14T19:05,,-3.786,,sl_hit,,
MISSED_REAL,MSFTUSDT,2026-07-14T21:06,,1.854,,tp_hit,,
MISSED_REAL,EDENUSDT,2026-07-15T03:03,,-1.09,,timeout,,
MISSED_REAL,STABLEUSDT,2026-07-15T13:46,,-3.537,,sl_hit,,
MISSED_REAL,VVVUSDT,2026-07-15T14:08,,-1.053,,timeout,,
MISSED_REAL,DOGEUSDT,2026-07-16T12:15,,-3.349,,sl_hit,,
MISSED_REAL,SUIUSDT,2026-07-16T14:31,,-5.877,,sl_hit,,
MISSED_REAL,ZECUSDT,2026-07-16T23:43,,7.9,,tp_hit,,
MISSED_REAL,LINKUSDT,2026-07-17T06:31,,-3.374,,sl_hit,,
MISSED_REAL,GALAUSDT,2026-07-17T14:01,,2.083,,tp_hit,,
MISSED_REAL,MSFTUSDT,2026-07-17T17:05,,-4.14,,sl_hit,,
MISSED_REAL,BASEDUSDT,2026-07-18T17:17,,8.527,,tp_hit,,
MISSED_REAL,LDOUSDT,2026-07-18T18:48,,-2.55,,sl_hit,,
MISSED_REAL,ZAMAUSDT,2026-07-18T19:56,,-4.74,,sl_hit,,
MISSED_REAL,MUSDT,2026-07-19T04:10,,-4.384,,sl_hit,,
MISSED_REAL,INJUSDT,2026-07-19T16:30,,1.586,,tp_hit,,
MISSED_REAL,BTCDOMUSDT,2026-07-19T17:27,,0.16,,tp_hit,,
MISSED_REAL,CFXUSDT,2026-07-19T22:05,,-2.9,,sl_hit,,
MISSED_REAL,ACUUSDT,2026-07-20T05:20,,-2.763,,timeout,,
MISSED_REAL,TRXUSDT,2026-07-20T16:14,,0.081,,tp_hit,,
MISSED_REAL,CLUSDT,2026-07-20T20:01,,1.815,,tp_hit,,
MISSED_REAL,NEARUSDT,2026-07-21T19:11,,-3.668,,sl_hit,,
MISSED_REAL,EIGENUSDT,2026-07-21T19:15,,-3.024,,sl_hit,,
MISSED_REAL,AVAXUSDT,2026-07-21T23:20,,-0.311,,timeout,,
MISSED_REAL,DOGEUSDT,2026-07-22T14:10,,0.673,,tp_hit,,
MISSED_REAL,GLWUSDT,2026-07-22T17:59,,-3.175,,sl_hit,,
MISSED_REAL,PLAYUSDT,2026-07-23T12:56,,7.754,,tp_hit,,
MISSED_REAL,GUNUSDT,2026-07-23T16:32,,-3.349,,sl_hit,,
