Name,Symbol,Side,OpenedAt,ClosedAt,EntryPrice,SlPrice,TpPrice,ClosePrice,RealizedPnl,ExitReason
FVG - 1m,TUTUSDT,0,2026-07-12 08:25:53.43951+00,2026-07-12 08:50:12.511138+00,0.0122300,0.012101,0.0131201,0.012101,-1.701542109566,sl_hit
FVG - 5m,CHRUSDT,0,2026-07-12 05:19:16.467468+00,2026-07-12 16:52:46.865311+00,0.0152000,0.015117,0.01798361,0.01521000,-0.021355263158,timeout
FVG - 1m,APRUSDT,1,2026-07-12 20:14:55.72484+00,2026-07-12 20:42:42.588417+00,0.23016,0.232395,0.21843566,0.232395,-1.577178050052,sl_hit
Standard Scalping,ALPINEUSDT,0,2026-07-14 20:40:43.92533+00,2026-07-14 21:24:34.920748+00,0.32200000,0.31464016,0.34559848,0.31464016,-3.547125495652,sl_hit
Scalping Clone,BILLUSDT,0,2026-07-13 14:30:51.313833+00,2026-07-13 17:53:20.777652+00,0.0577500,0.05282572,0.07056426,0.05752,-0.717163636364,timeout
FVG - 1m,AGLDUSDT,1,2026-07-12 05:19:11.547395+00,2026-07-12 05:19:54.66611+00,0.1616000,0.16343,0.1492356,0.16343,-1.819318069307,sl_hit
FVG - 5m,BICOUSDT,1,2026-07-14 10:49:22.563305+00,2026-07-14 13:25:10.451597+00,0.0138900,0.013936,0.0134265,0.013936,-0.616958963283,sl_hit
Scalping Clone,OGUSDT,0,2026-07-15 07:11:31.514873+00,2026-07-15 08:03:36.297945+00,2.733000,2.65724124,2.7618,2.71300000,-1.217255762898,
FVG - 15m,1000XECUSDT,1,2026-07-14 21:42:26.501406+00,2026-07-14 23:45:39.370588+00,0.005778,0.0057916,0.00543595,0.0057870,-0.353738317757,sl_hit
FVG - 5m,PARTIUSDT,0,2026-07-12 20:34:33.155278+00,2026-07-12 20:46:13.479238+00,0.0312700,0.031185,0.03390256,0.031185,-0.527575951391,sl_hit
FVG - 1m,EPICUSDT,0,2026-07-12 08:46:49.191212+00,2026-07-12 08:54:29.650779+00,0.375,0.37385,0.39452546,0.37385,-0.579816000,sl_hit
