symbol,signal_ts,mkt_snap_ts,entry_ts,lat_dec_s,lat_mkt_s,ma2_slots_occupied_at_entry,cross_strategy_holding_symbol_at_signal,n_real_competitors_same_slot,replay_first_fire_ts,replay_first_fire_delta_min,replay_pattern_persistence_bars_5m
TAKEUSDT,2026-07-11T02:23:05.655000,2026-07-11T02:23:02.353000,2026-07-11T02:23:08.879000,3.2,6.5,0,,0,2026-07-11T02:20:00,-3.1,7
ORDIUSDT,2026-07-11T02:46:47.519000,2026-07-11T02:46:43.653000,2026-07-11T02:46:51.589000,4.1,7.9,1,,0,2026-07-10T22:05:00,-281.8,50
AWEUSDT,2026-07-11T02:55:48.123000,2026-07-11T02:55:44.197000,2026-07-11T02:55:51.755000,3.6,7.6,2,,0,2026-07-11T02:50:00,-5.8,15
EIGENUSDT,2026-07-11T03:53:32.437000,2026-07-11T03:53:29.013000,2026-07-11T03:53:39.044000,6.6,10.0,2,,4,2026-07-11T03:05:00,-48.5,12
ENSOUSDT,2026-07-11T23:15:28.873000,2026-07-11T23:15:25.623000,2026-07-11T23:15:30.048000,1.2,4.4,2,,0,2026-07-11T12:05:00,-670.5,106
MAVUSDT,2026-07-11T23:24:29.571000,2026-07-11T23:24:25.794000,2026-07-11T23:24:30.468000,0.9,4.7,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
BLESSUSDT,2026-07-12T00:06:50.831000,2026-07-12T00:06:46.847000,2026-07-12T00:06:54.399000,3.6,7.6,2,,2,2026-07-12T00:05:00,-1.8,17
RVNUSDT,2026-07-12T00:41:59.064000,2026-07-12T00:41:55.122000,2026-07-12T00:42:00.541000,1.5,5.4,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
DUSKUSDT,2026-07-12T08:16:40.509000,2026-07-12T08:16:37.455000,2026-07-12T08:16:41.813000,1.3,4.4,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
AVGOUSDT,2026-07-12T22:10:27.281000,2026-07-12T22:10:24.364000,2026-07-12T22:10:29.537000,2.3,5.2,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
BTCUSDT,2026-07-13T00:55:18.871000,2026-07-13T00:55:15.453000,2026-07-13T00:55:20.249000,1.4,4.8,2,,0,2026-07-13T00:05:00,-50.3,28
SUIUSDT,2026-07-13T03:18:23.914000,2026-07-13T03:18:20.737000,2026-07-13T03:18:25.847000,1.9,5.1,1,,1,2026-07-12T05:05:00,-1333.4,47
ENAUSDT,2026-07-13T03:27:31.117000,2026-07-13T03:27:27.329000,2026-07-13T03:27:33.335000,2.2,6.0,2,,1,2026-07-13T03:05:00,-22.5,11
NVDAUSDT,2026-07-13T05:07:07.959000,2026-07-13T05:07:04.525000,2026-07-13T05:07:09.593000,1.6,5.1,2,,0,2026-07-13T05:05:00,-2.1,24
ZECUSDT,2026-07-13T17:31:01.943000,2026-07-13T17:30:56.932000,2026-07-13T17:31:09.669000,7.7,12.7,2,,1,2026-07-13T16:20:00,-71.0,32
C98USDT,2026-07-13T21:16:19.836000,2026-07-13T21:16:15.142000,2026-07-13T21:16:22.626000,2.8,7.5,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
SAFEUSDT,2026-07-13T22:12:14.426000,2026-07-13T22:12:10.946000,2026-07-13T22:12:15.325000,0.9,4.4,1,,0,NO_FIRE_OR_UNREPLAYABLE,,0
MANTAUSDT,2026-07-13T23:10:29.927000,2026-07-13T23:10:26.901000,2026-07-13T23:10:30.830000,0.9,3.9,2,,1,2026-07-13T23:05:00,-5.5,29
USDCUSDT,2026-07-14T01:57:02.826000,2026-07-14T01:57:00.508000,2026-07-14T01:57:04.940000,2.1,4.4,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
REDUSDT,2026-07-14T02:42:43.811000,2026-07-14T02:42:41.248000,2026-07-14T02:42:44.358000,0.5,3.1,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
APRUSDT,2026-07-14T03:03:57.217000,2026-07-14T03:03:54.224000,2026-07-14T03:03:59.919000,2.7,5.7,2,,0,2026-07-14T03:10:00,6.0,16
REDUSDT,2026-07-14T15:41:04.390000,2026-07-14T15:41:01.750000,2026-07-14T15:41:07.040000,2.6,5.3,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
SAPIENUSDT,2026-07-14T15:47:25.850000,2026-07-14T15:47:23.575000,2026-07-14T15:47:28.830000,3.0,5.3,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
ZESTUSDT,2026-07-14T16:05:04.491000,2026-07-14T16:05:02.535000,2026-07-14T16:05:09.793000,5.3,7.3,2,,0,2026-07-14T16:05:00,-0.1,10
STABLEUSDT,2026-07-14T19:05:25.058000,2026-07-14T19:05:21.511000,2026-07-14T19:05:26.394000,1.3,4.9,1,,0,2026-07-14T19:05:00,-0.4,1
MSFTUSDT,2026-07-14T21:06:09.575000,2026-07-14T21:06:07.196000,2026-07-14T21:06:10.899000,1.3,3.7,2,,0,2026-07-14T11:20:00,-586.2,21
UVXYUSDT,2026-07-15T02:07:59.621000,2026-07-15T02:07:57.729000,2026-07-15T02:08:00.644000,1.0,2.9,1,,0,NO_FIRE_OR_UNREPLAYABLE,,0
ATUSDT,2026-07-15T02:11:45.432000,2026-07-15T02:11:43.440000,2026-07-15T02:11:47.057000,1.6,3.6,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
EDENUSDT,2026-07-15T03:03:54.739000,2026-07-15T03:03:52.480000,2026-07-15T03:03:57.222000,2.5,4.7,2,,0,2026-07-15T03:05:00,1.1,16
ICNTUSDT,2026-07-15T04:05:54.233000,2026-07-15T04:05:52.197000,2026-07-15T04:05:55.628000,1.4,3.4,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
STABLEUSDT,2026-07-15T13:46:59.504000,2026-07-15T13:46:57.546000,2026-07-15T13:47:02.737000,3.2,5.2,2,,1,2026-07-14T19:05:00,-1122.0,54
