symbol,side,opened,entry,sl0,tp0,exitReason,exitBar,finalLevel,pnl
PUNDIXUSDT,1,2026-09-13T02:42:04.3146150Z,0.1208500,0.12227996,0.10065714,sl,0,0,-1.8948779478692594124948282996
CFXUSDT,0,2026-05-16T06:35:14.0000000Z,0.06285,0.0585458,0.06328,tp,0,0,0.9062529832935560859188544153
SXTUSDT,0,2026-05-17T07:58:49.0000000Z,0.01247,0.0118803,0.01532,sl,62,0,-7.2134242181234963913392141136
0GUSDT,0,2026-05-17T08:04:28.0000000Z,0.4991,0.4860575,0.5755,sl,61,0,-4.0398056501703065517932278101
BREVUSDT,0,2026-05-17T14:08:19.0000000Z,0.1165,0.110246,0.1417,sl,37,0,-8.172360515021459227467811159
ALLOUSDT,0,2026-05-17T14:37:47.0000000Z,0.08586,0.08084375,0.098,sl,10,2,0.6300000000000000000000000000
PHAUSDT,0,2026-05-17T20:46:55.0000000Z,0.03121,0.03029775,0.0402,sl,10,0,-4.5044120474206984940724126882
ASTERUSDT,0,2026-05-17T20:46:57.0000000Z,0.6649,0.649138,0.694,sl,10,0,-3.6758730636185892615430891863
BABYUSDT,0,2026-05-17T21:41:49.0000000Z,0.01908,0.01862361,0.02044918,sl,3,0,-3.7079716981132075471698113207
APRUSDT,0,2026-05-17T23:00:45.0000000Z,0.14921,0.14379069,0.16546792,sl,0,0,-5.5680028148247436498894175992
RIFUSDT,0,2026-05-18T00:24:38.0000000Z,0.07402,0.07269652,0.07732869,sl,0,0,-2.8020048635503917860037827614
RIFUSDT,0,2026-05-18T00:24:38.0000000Z,0.07402,0.07269652,0.07732869,sl,0,0,-2.8020048635503917860037827614
DASHUSDT,0,2026-05-18T01:58:58.0000000Z,41.8,41.250748,43.17313,sl,0,0,-2.0910000000000000000000000000
DASHUSDT,0,2026-05-18T01:58:59.0000000Z,41.8,41.250748,43.17313,sl,0,0,-2.0910000000000000000000000000
AIGENSYNUSDT,0,2026-05-18T02:17:07.0000000Z,0.04083,0.03886689,0.04671932,sl,2,3,1.3800000000000000000000000000
AIGENSYNUSDT,0,2026-05-18T02:17:08.0000000Z,0.04083,0.03886689,0.04671932,sl,2,3,1.3800000000000000000000000000
BZUSDT,0,2026-05-18T04:50:31.0000000Z,105.84,103.98745,112.3,sl,30,0,-2.7454960317460317460317460318
HOMEUSDT,0,2026-05-18T04:50:32.0000000Z,0.016834,0.01660169,0.01741477,sl,5,2,0.6300000000000000000000000000
POLUSDT,0,2026-05-18T06:03:14.0000000Z,0.09127,0.0876396,0.10329,sl,400,2,0.6300000000000000000000000000
DYMUSDT,0,2026-05-18T06:51:59.0000000Z,0.02223,0.02190989,0.02303028,sl,1,1,-0.12
FIDAUSDT,0,2026-05-18T07:15:33.0000000Z,0.02299,0.02113793,0.02854622,sl,1,3,1.3800000000000000000000000000
1000CHEEMSUSDT,1,2026-05-18T09:42:41.0000000Z,0.0005796,0.00059662,0.00052855,sl,7,3,1.3800000000000000000000000000
TOWNSUSDT,0,2026-05-18T16:22:29.0000000Z,0.003645,0.00341522,0.00433434,sl,45,0,-9.575967078189300411522633745
BLESSUSDT,1,2026-05-18T17:03:53.0000000Z,0.005289,0.0053732,0.0050364,sl,7,3,1.3800000000000000000000000000
CFXUSDT,1,2026-05-18T19:09:47.0000000Z,0.05825,0.0590888,0.0557336,sl,8,3,1.3800000000000000000000000000
ALICEUSDT,0,2026-05-18T21:30:44.0000000Z,0.139,0.13480776,0.15576896,sl,1,3,1.3800000000000000000000000000
CRWVUSDT,0,2026-05-18T22:04:00.0000000Z,102.98,100.632056,110.023832,sl,9,1,-0.12
ROSEUSDT,0,2026-05-18T23:19:00.0000000Z,0.009649,0.00952626,0.01001721,sl,34,1,-0.12
FHEUSDT,0,2026-05-19T00:29:10.0000000Z,0.02912,0.02813283,0.03158792,sl,9,3,1.3800000000000000000000000000
TAKEUSDT,0,2026-05-19T00:29:13.0000000Z,0.02245,0.02160543,0.02456142,sl,8,3,1.3800000000000000000000000000
EPICUSDT,0,2026-05-19T00:44:06.0000000Z,0.3041,0.2856645,0.3766,sl,11,1,-0.12
DOGSUSDT,0,2026-05-19T01:43:21.0000000Z,0.00005806,0.00005703,0.00006064,sl,0,0,-2.7810403031346882535308301757
AEROUSDT,0,2026-05-19T02:31:03.0000000Z,0.4234,0.41459328,0.44982016,sl,10,0,-3.2400000000000000000000000000
STORJUSDT,0,2026-05-19T03:53:04.0000000Z,0.1154,0.11354437,0.1209669,sl,1,3,1.3800000000000000000000000000
COLLECTUSDT,0,2026-05-19T04:06:13.0000000Z,0.06105,0.05976429,0.06426428,sl,1,2,0.6300000000000000000000000000
ONDOUSDT,0,2026-05-19T04:49:37.0000000Z,0.3925,0.3786526,0.4478896,sl,4,2,0.6300000000000000000000000000
IDOLUSDT,1,2026-05-19T05:54:45.0000000Z,0.02619,0.02692856,0.02434361,sl,5,3,1.3800000000000000000000000000
ACEUSDT,0,2026-05-19T06:03:54.0000000Z,0.1197,0.111639,0.1397,sl,1,3,1.3800000000000000000000000000
币安人生USDT,1,2026-05-19T07:30:17.0000000Z,0.4495,0.46978144,0.38865568,sl,5,0,-6.8880000000000000000000000000
XPTUSDT,0,2026-05-19T08:07:26.0000000Z,1971.0,1944.827,2201.4,sl,20,0,-2.1118569254185692541856925418
BSBUSDT,0,2026-05-19T08:35:50.0000000Z,0.69361,0.66642049,0.80236805,sl,1,2,0.6300000000000000000000000000
我踏马来了USDT,0,2026-05-19T09:06:14.0000000Z,0.008892,0.00812915,0.010984,sl,2,3,1.3800000000000000000000000000
EDENUSDT,0,2026-05-19T09:32:48.0000000Z,0.06671,0.0613265,0.08016874,sl,1,3,1.3800000000000000000000000000
